"category__001","category__002","category__003","category__004","name","img_url","brand","short_desc","priority_price","priority_store","num_of_product","num_of_store","lowest_price","highest_price","category__005","category__006"
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Luật Đấu Thầu Và Công Tác Chấn Chỉnh Hoạt Động Đấu Thầu","https://img.sosanhgia.com/images/500x0/ee775a84d7f1423daa0260cc6fc3a161/lut-u-thu-v-cng-tc-chn-chnh-hot-ng-u-thu.jpeg","Nhiều Tác Giả","Trong sự nghiệp công nghiệp hóa, hiện đại hóa nền kinh tế nước nhà, ngày càng có nhiều các dự án đầu tư và xây dựng trong nước cũng như đầu tư nước ngoài. Các công trình đòi hỏi ngày càng nâng cao về chất lượng, kỹ thuật, tiến độ và giá cả. Việc phát triển và quản lý dự án trong nước và quốc tế đã khẳng định, đấu thầu là phương pháp có...","190.000","Tiki","6","2","190.000","260.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Định Mức Dự Toán Xây Dựng Công Trình (Phần Khảo Sát)","https://img.sosanhgia.com/images/500x0/5e542deb7f724704914016bc3b5cc84f/dinh-muc-du-toan-xay-dung-cong-trinh-phan-khao-sat.jpeg","Nhiều Tác Giả","Ngày 28-12-2016, Bộ Xây dựng đã ban hành \n Về việc công bố Định mức dự toán xây dựng công trình -Phần Khảo sát xây dựng. Quyết định này thay thế Văn bản số 1779/BXD-VP ngày 16/8/2007 của Bộ Xây dựng và có hiệu lực kể từ ngày 01/02/2017...","250.000","Lazada","1","1","260.000","0","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Tuyên Truyền Về Công Tác Đảm Bảo An Toàn Vệ Sinh Lao Động Trong Lĩnh Vực Thông Tin Và Truyền Thông","https://img.sosanhgia.com/images/500x0/e67add430f7740899eb90818125b09bf/tuyn-truyn-v-cng-tc-m-bo-an-ton-v-sinh-lao-ng-trong-lnh-vc-thng-tin-v-truyn-thng.jpeg","Nhiều Tác Giả","Để công tác đảm bảo an toàn lao động, vệ sinh lao động trong lĩnh vực Thông tin và Truyền thông có hiệu quả đòi hỏi các đơn vị phải tiến hành đồng bộ trên nhiều phương diện, từ ban hành, sửa đổi các chế độ chính sách đến đầu tư các nguồn lực tương xứng cho việc triển khai tại các đơn vị...","111.000","Vinabook","null","null","null","null","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Cẩm Nang Pháp Luật Về Môi Giới Và Đầu Tư Kinh Doanh Bất Động Sản","https://img.sosanhgia.com/images/500x0/7d1dcb2b13a3416b849763a10e09ee33/cam-nang-phap-luat-ve-moi-gioi-va-dau-tu-kinh-doanh-bat-dong-san.jpeg","Nhiều Tác Giả","Quá trình giao dịch bất động sản là quá trình giao dịch cho một tài sản lớn. Do vậy để trở thành chuyên gia môi giới, kinh doanh bất động sản thực thụ chúng ta phải xây dựng cho mình một nền tảng kiến thức pháp lý vững chắc. Trong nhiều trường hợp khách hàng sẽ cần...","210.000","Tiki","7","3","210.000","260.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Nâng Cao Hiểu Biết Pháp Luật Dành Cho Tổ Chức Công Đoàn Các Cấp","https://img.sosanhgia.com/images/500x0/ef48c9169a6e498491e047f95f6fd35e/nng-cao-hiu-bit-php-lut-dnh-cho-t-chc-cng-on-cc-cp.jpeg","Nhiều Tác Giả","Nội dung gồm những phần chính sau:\n Phần thứ nhất: Quy định mới nhất về chế độ chính sách, việc làm, chế độ bảo hiểm\n Phần thứ hai: Luật Công đoàn và văn bản hướng dẫn thi hành...","249.980","Tiki","null","null","null","null","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Các nghị quyết của hội đồng thẩm phán tòa án nhân dân tối cao về hình sự dân sự, hành chính, kinh tế, lao động từ năm 2007 - 2018","https://img.sosanhgia.com/images/500x0/0153a11362bb4120a827b90a3aaf6541/cac-nghi-quyet-cua-hoi-dong-tham-phan-toa-an-nhan-dan-toi-cao-ve-hinh-su-dan-su-hanh-chinh-kinh-te-lao-dong-tu-nam-2007-2018.jpeg","Nhiều Tác Giả","Thời gian qua, Hội đồng Thẩm phán Tòa án nhân dân tối cao đã ban hành nhiều Nghị quyết liên quan đến lĩnh vực hình sự, dân sự, hành chính, kinh tế​, lao động,... Cụ thể như: ​ Nghị quyết số 01/2018/NQ-HĐTP ngày 24-04-2018 Hướng áp dụng Điều 66 và Điều 106 của Bộ luật Hình sự về tha tù trước thời hạn có điều kiện...","259.900","Tiki","6","2","259.900","350.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Quy định về Nghiệp Vụ Công Tác Đảng Viên, Kết Nạp Đảng và Nâng Cao Chất Lượng Sinh Hoạt Chi Bộ trong Tình Hình Mới","https://img.sosanhgia.com/images/500x0/451fc46be6a041dd98bb6e9fd3c36f22/quy-nh-v-nghip-v-cng-tc-ng-vin-kt-np-ng-v-nng-cao-cht-lng-sinh-hot-chi-b-trong-tnh-hnh-mi.jpeg","Nhiều Tác Giả","Nhận thức rõ tầm quan trọng của việc đổi mới, nâng cao chất lượng sinh hoạt chi bộ,nâng cao nghiệp vụ công tác đảng nhằm tăng cường năng lực lãnh đạo, sức chiến đấu của tổ chức Ðảng và chất lượng đội ngũ đảng viên, thời gian qua, nhiều quy định, hướng dẫn của Ban Bí thư, Ban Tổ chức Trung Ương, Ban Tuyên giáo Trung Ương đã được ban hành...","240.000","Tiki","4","2","240.000","260.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Triết Học - Lý Luận Chính Trị","Triết Học - Lý Luận Chính Trị  - Quý Lâm","Chủ Tịch Hồ Chí Minh & Tầm Nhìn Chiến Lược Về Thời Đại Mới Trong Tuyên Ngôn Độc Lập","https://img.sosanhgia.com/images/500x0/2ceb46a3f5994301836c8a7c0cfd9d4b/chu-tich-ho-chi-minh-tam-nhin-chien-luoc-ve-thoi-dai-moi-trong-tuyen-ngon-doc-lap.jpeg","Quý Lâm","Cách mạng Tháng Tám và sự ra đời của Nước Việt Nam Dân chủ Cộng hòa là thắng lợi của trí tuệ, bản lĩnh và tinh thần đấu tranh quật cường của toàn thể dân tộc Việt Nam dưới sự lãnh đạo đúng đắn, sáng tạo của Đảng Cộng sản Việt Nam, đứng đầu là Chủ tịch Hồ Chí Minh...","280.000","Tiki","null","null","null","null","",""
"Sách","Sách Y Học","Sách Y Học  - Quý Lâm","","Hướng Dẫn Cách Sử Dụng Thuốc Kháng Sinh Và Điều Trị Các Bệnh Nhiễm Khuẩn","https://img.sosanhgia.com/images/500x0/6b393c84c3284f97924ee9797388f52d/huong-dan-cach-su-dung-thuoc-khang-sinh-va-dieu-tri-cac-benh-nhiem-khuan.jpeg","Quý Lâm","Quy định về kê đơn thuốc trong điều trị ngoại trú (theo Thông tư số 05/2016/TT-BYT ngày 29/02/2016 của Bộ trưởng Bộ Y tế). Quy định về kê đơn thuốc y học cổ truyền, kê đơn thuốc y học cổ truyền kết hợp với thuốc...","240.000","Tiki","null","null","null","null","",""
"Sách","Sách Y Học","Sách Y Học  - Quý Lâm","","Hướng Dẫn Hoạt Động Dự Phòng, Phát Hiện Sớm, Chẩn Đoán, Điều Trị và Quản Lý Một Số Bệnh Không Lây Nhiễm Phổ Biến Cho Tuyến Y Tế Cơ Sở","https://img.sosanhgia.com/images/500x0/502de09020044d5ca104a92ae377e637/huong-dan-hoat-dong-du-phong-phat-hien-som-chan-doan-dieu-tri-va-quan-ly-mot-so-benh-khong-lay-nhiem-pho-bien-cho-tuyen-y-te-co-so.jpeg","Quý Lâm","Các bệnh không lây nhiễm ảnh hưởng nghiêm trọng đến sức khỏe cộng đồng và sự phát triển kinh tế xã hội của đất nước do số người mắc bệnh nhiều, bệnh gây tàn tật và tử vong cao. Phòng, chống các bệnh không lây nhiễm hiệu quả sẽ hạn chế số người mắc bệnh này trong...","249.900","Tiki","null","null","null","null","",""
